name,type,notranslate,comment,value,en
"symbolfo,grid,fixrows.items,0:,captions.items,0:,caption",vaString,F,,Symbol,Symbol
"symbolfo,grid,fixrows.items,0:,captions.items,1:,caption",vaString,F,,Address,Address
"symbolfo,grid,fixrows.items,0:,captions.items,2:,caption",vaString,F,,Info,Info
"symbolfo,tpopupmenu1,menu.submenu.items,0:,caption",vaString,F,,Delete all,Delete all
"symbolfo,c,strings.data,0:",vaString,F,,GDB not active.,GDB not active.
"symbolfo,c,strings.data,1:",vaString,F,,Do you wish to delete all symbols?,Do you wish to delete all symbols?
"storedcomponentinfodialogfo,tbutton1,caption",vaString,F,,&OK,&OK
"storedcomponentinfodialogfo,tbutton2,caption",vaString,F,,&Cancel,&Cancel
"storedcomponentinfodialogfo,filepath,frame.caption",vaString,F,,&File,&File
"storedcomponentinfodialogfo,filepath,controller.filterlist.data,0:,0:",vaString,F,,Component File,Component File
"storedcomponentinfodialogfo,filepath,controller.filterlist.data,1:,0:",vaString,F,,All Files,All Files
"storedcomponentinfodialogfo,filepath,controller.captionsave",vaString,F,,Component File,Component File
"storedcomponentinfodialogfo,compname,frame.caption",vaString,F,,&Name,&Name
"storedcomponentinfodialogfo,compdesc,frame.caption",vaString,F,,&Description,&Description
"stackfo,dragdock.caption",vaString,F,,Stack,Stack
"stackfo,caption",vaString,F,,Stack,Stack
"stackfo,tpopupmenu1,menu.submenu.items,0:,caption",vaString,F,,Copy to Clipboard,Copy to Clipboard
"sourcefo,dragdock.caption",vaString,F,,Source,Source
"sourcefo,caption",vaString,F,,<none>,<none>
"sourcefo,tabwidget,tstockglyphbutton1,hint",vaString,F,,Step back in code navigation,Step back in code navigation
"sourcefo,tabwidget,tstockglyphbutton2,hint",vaString,F,,Step forward in code navigation,Step forward in code navigation
"sourcefo,formpopup,menu.submenu.items,0:,caption",vaString,F,,Select Page,Select Page
"sourcefo,formpopup,menu.submenu.items,1:,caption",vaString,F,,&Open File,&Open File
"sourcefo,formpopup,menu.submenu.items,2:,caption",vaString,F,,&Close File,&Close File
"sourcefo,formpopup,menu.submenu.items,3:,caption",vaString,F,,&Save File,&Save File
"sourcefo,formpopup,menu.submenu.items,5:,caption",vaString,F,,Show as Form,Show as Form
"sourcefo,formpopup,menu.submenu.items,17:,submenu.items,7:,caption",vaString,F,,Convert to &Pascal string,Convert to &Pascal string
"sourcefo,formpopup,menu.submenu.items,17:,caption",vaString,F,,&Modify Selection,&Modify Selection
"sourcefo,formpopup,menu.submenu.items,21:,caption",vaString,F,,&Edit breakpoint,&Edit breakpoint
"sourcefo,formpopup,menu.submenu.items,22:,caption",vaString,F,,Add &Watch at Cursor,Add &Watch at Cursor
"sourcefo,formpopup,menu.submenu.items,23:,caption",vaString,F,,Set Bookmark,Set Bookmark
"sourcefo,formpopup,menu.submenu.items,24:,caption",vaString,F,,Find Bookmark,Find Bookmark
"sourcefo,formpopup,menu.submenu.items,26:,caption",vaString,F,,Insert GUID,Insert GUID
"sourcefo,formpopup,menu.submenu.items,27:,caption",vaString,F,,Insert UID,Insert UID
"sourcefo,formpopup,menu.submenu.items,28:,caption",vaString,F,,Insert Template,Insert Template
"sourcefo,formpopup,menu.submenu.items,29:,caption",vaString,F,,Complete Class at Cursor,Complete Class at Cursor
"sourcefo,completeclassact,caption",vaString,F,,Complete class at cursor,Complete class at cursor
"sourcefo,c,strings.data,0:",vaString,F,,"File ""","File """
"sourcefo,c,strings.data,1:",vaString,F,,""" has changed.",""" has changed."
"sourcefo,c,strings.data,2:",vaString,F,,There are modifications in edit buffer also.,There are modifications in edit buffer also.
"sourcefo,c,strings.data,3:",vaString,F,,Do you wish to reload from disk?,Do you wish to reload from disk?
"sourcefo,c,strings.data,4:",vaString,F,,Confirmation,Confirmation
"sourcefo,c,strings.data,5:",vaString,F,,<none>,<none>
"sourcefo,c,strings.data,6:",vaString,F,,Do you wish to replace:,Do you wish to replace:
"sourcefo,c,strings.data,7:",vaString,F,,with:,with:
"sourcefo,c,strings.data,8:",vaString,F,,<new>,<new>
"sourcefo,c,strings.data,9:",vaString,F,,Syntaxdeffile:,Syntaxdeffile:
"sourcefo,c,strings.data,10:",vaString,F,,Text,Text
"sourcefo,c,strings.data,11:",vaString,F,,not found.,not found.
"sourcefo,c,strings.data,12:",vaString,F,,Restart from begin of file?,Restart from begin of file?
"sourcefo,c,strings.data,13:",vaString,F,,Cancel?,Cancel?
"sourcefo,c,strings.data,14:",vaString,F,,Do you wish to to replace this occurence?,Do you wish to to replace this occurence?
"sourcefo,c,strings.data,15:",vaString,F,,Go to line number:,Go to line number:
"sourcefo,c,strings.data,16:",vaString,F,,Find line,Find line
"sourcefo,c,strings.data,17:",vaString,F,,There are modifications in edit buffer also.,There are modifications in edit buffer also.
"sourcefo,c,strings.data,18:",vaString,F,,Restart from end of file?,Restart from end of file?
"settaborderfo,caption",vaString,F,,Set Tab Order,Set Tab Order
"settaborderfo,ok,caption",vaString,F,,OK,OK
"settaborderfo,cancel,caption",vaString,F,,Cancel,Cancel
"settaborderfo,start,caption",vaString,F,,&Start,&Start
"settaborderfo,stop,caption",vaString,F,,St&op,St&op
"settaborderfo,tlabel1,caption",vaString,F,,Mouse click,Mouse click
"setcreateorderfo,grid,fixrows.items,0:,captions.items,0:,caption",vaString,F,,Name,Name
"setcreateorderfo,grid,fixrows.items,0:,captions.items,1:,caption",vaString,F,,Class,Class
"setcreateorderfo,grid,fixrows.items,0:,captionsfix.items,0:,caption",vaString,F,,Order,Order
"setcreateorderfo,tbutton1,caption",vaString,F,,&OK,&OK
"setcreateorderfo,tbutton2,caption",vaString,F,,&Cancel,&Cancel
"setcreateorderfo,c,strings.data,0:",vaString,F,,Set Component create Order of,Set Component create Order of
"selectsubmoduledialogfo,caption",vaString,F,,Select subform,Select subform
"selectsubmoduledialogfo,ok,caption",vaString,F,,OK,OK
"selectsubmoduledialogfo,cancel,caption",vaString,F,,Cancel,Cancel
"selecteditpagefo,caption",vaString,F,,Select edit page (Ctrl+E),Select edit page (Ctrl+E)
"selecteditpagefo,openfilebutton,caption",vaString,F,,&Open,&Open
"reportdesignerfo,xdisp,format",vaString,F,,0.0mm,0.0mm
"reportdesignerfo,tpopupmenu3,menu.submenu.items,0:,caption",vaString,F,,Show objectinspector,Show objectinspector
"reportdesignerfo,tpopupmenu3,menu.submenu.items,1:,caption",vaString,F,,Show componentpalette,Show componentpalette
"reportdesignerfo,tpopupmenu3,menu.submenu.items,2:,caption",vaString,F,,Show as Text,Show as Text
"reportdesignerfo,tpopupmenu3,menu.submenu.items,9:,caption",vaString,F,,Copy Component(s),Copy Component(s)
"reportdesignerfo,tpopupmenu3,menu.submenu.items,10:,caption",vaString,F,,Cut Component(s),Cut Component(s)
"reportdesignerfo,tpopupmenu3,menu.submenu.items,11:,caption",vaString,F,,Paste Component(s),Paste Component(s)
"reportdesignerfo,tpopupmenu3,menu.submenu.items,12:,caption",vaString,F,,Delete Component(s),Delete Component(s)
"reportdesignerfo,tpopupmenu3,menu.submenu.items,13:,caption",vaString,F,,Undelete Component(s),Undelete Component(s)
"reportdesignerfo,tpopupmenu3,menu.submenu.items,15:,caption",vaString,F,,Select Childwidget,Select Childwidget
"reportdesignerfo,tpopupmenu3,menu.submenu.items,16:,caption",vaString,F,,Edit Component,Edit Component
"reportdesignerfo,tpopupmenu3,menu.submenu.items,17:,caption",vaString,F,,Bring to Front,Bring to Front
"reportdesignerfo,tpopupmenu3,menu.submenu.items,18:,caption",vaString,F,,Send to Back,Send to Back
"reportdesignerfo,tpopupmenu3,menu.submenu.items,19:,caption",vaString,F,,Iconify,Iconify
"reportdesignerfo,tpopupmenu3,menu.submenu.items,20:,caption",vaString,F,,Deiconify,Deiconify
"reportdesignerfo,tpopupmenu3,menu.submenu.items,21:,caption",vaString,F,,Set Tab Order,Set Tab Order
"reportdesignerfo,tpopupmenu3,menu.submenu.items,22:,caption",vaString,F,,Set Creation Order,Set Creation Order
"reportdesignerfo,tpopupmenu3,menu.submenu.items,23:,caption",vaString,F,,Sync. to Font Height,Sync. to Font Height
"reportdesignerfo,tpopupmenu3,menu.submenu.items,24:,caption",vaString,F,,Revert to inherited,Revert to inherited
"reportdesignerfo,tpopupmenu3,menu.submenu.items,26:,caption",vaString,F,,Touch Form,Touch Form
"reportdesignerfo,tpopupmenu3,menu.submenu.items,27:,caption",vaString,F,,Add report page,Add report page
"reportdesignerfo,tpopupmenu3,menu.submenu.items,28:,caption",vaString,F,,Delete report page,Delete report page
"reportdesignerfo,sc,strings.data,0:",vaString,F,,Do you wish to delete,Do you wish to delete
"reportdesignerfo,sc,strings.data,1:",vaString,F,,WARNING,WARNING
"replacedialogfo,caption",vaString,F,,Find and Replace Text,Find and Replace Text
"replacedialogfo,findtext,frame.caption",vaString,F,,Text to &find,Text to &find
"replacedialogfo,replacetext,frame.caption",vaString,F,,&Replace with,&Replace with
"replacedialogfo,casesensitive,frame.caption",vaString,F,,&casesensitive,&casesensitive
"replacedialogfo,wholeword,frame.caption",vaString,F,,&whole word,&whole word
"replacedialogfo,tintegerbutton1,caption",vaString,F,,&Replace,&Replace
"replacedialogfo,tintegerbutton2,caption",vaString,F,,Replace &all,Replace &all
"replacedialogfo,selectedonly,frame.caption",vaString,F,,select&ed only,select&ed only
"replacedialogfo,tintegerbutton3,caption",vaString,F,,&Cancel,&Cancel
"replacedialogfo,promptonreplace,frame.caption",vaString,F,,&prompt on rep.,&prompt on rep.
"projecttreefo,caption",vaString,F,,Project Tree,Project Tree
"projecttreefo,addunitfileact,caption",vaString,F,,&Add Unit,&Add Unit
"projecttreefo,removeunitfileact,caption",vaString,F,,&Remove Unit,&Remove Unit
